x,ie,t,V,r,w,lbl
1.7137931034482758,10,4,-0.8850604320683851,0.15,5.5,e₁₀
1.7137931034482758,10,5,-0.7668322346107415,0.15,5.5,e₁₀
1.7137931034482758,10,6,-0.6441377877679506,0.15,5.5,e₁₀
1.7137931034482758,10,7,-0.5171255243760026,0.15,5.5,e₁₀
1.7137931034482758,10,8,-0.3860468889787062,0.15,5.5,e₁₀
1.7137931034482758,10,9,-0.2513789047645984,0.15,5.5,e₁₀
1.7137931034482758,10,10,-0.11472782396488655,0.15,5.5,e₁₀
1.8482758620689654,1,1,-1.7565705671618195,0.15,5.5,e₁
1.8482758620689654,1,2,-1.6070605438589305,0.15,5.5,e₁
1.8482758620689654,1,3,-1.45028578465129,0.15,5.5,e₁
1.8482758620689654,1,4,-1.2862014116992577,0.15,5.5,e₁
1.8482758620689654,1,5,-1.1147265348959785,0.15,5.5,e₁
1.8482758620689654,1,6,-0.9357504827599727,0.15,5.5,e₁
1.8482758620689654,1,7,-0.7493367193432118,0.15,5.5,e₁
1.8482758620689654,1,8,-0.5558960642139672,0.15,5.5,e₁
1.8482758620689654,1,9,-0.35639969018766576,0.15,5.5,e₁
1.8482758620689654,1,10,-0.1551703377182658,0.15,5.5,e₁
1.8482758620689654,5,1,-1.4928757170901839,0.15,5.5,e₅
1.8482758620689654,5,2,-1.363553260399481,0.15,5.5,e₅
1.8482758620689654,5,3,-1.2298001122668831,0.15,5.5,e₅
1.8482758620689654,5,4,-1.0901104978858633,0.15,5.5,e₅
1.8482758620689654,5,5,-0.9444254995292872,0.15,5.5,e₅
1.8482758620689654,5,6,-0.7927938933138039,0.15,5.5,e₅
1.8482758620689654,5,7,-0.6354362518054488,0.15,5.5,e₅
1.8482758620689654,5,8,-0.4725125117634233,0.15,5.5,e₅
1.8482758620689654,5,9,-0.3048061003359369,0.15,5.5,e₅
1.8482758620689654,5,10,-0.1352557776665594,0.15,5.5,e₅
1.8482758620689654,10,1,-1.2127712960300114,0.15,5.5,e₁₀
1.8482758620689654,10,2,-1.1052102916850777,0.15,5.5,e₁₀
1.8482758620689654,10,3,-0.9947393008548655,0.15,5.5,e₁₀
1.8482758620689654,10,4,-0.8810837023907772,0.15,5.5,e₁₀
1.8482758620689654,10,5,-0.7630555379321234,0.15,5.5,e₁₀
1.8482758620689654,10,6,-0.6405949297479089,0.15,5.5,e₁₀
1.8482758620689654,10,7,-0.5138351318858929,0.15,5.5,e₁₀
1.8482758620689654,10,8,-0.3830464264198286,0.15,5.5,e₁₀
1.8482758620689654,10,9,-0.24876249748850565,0.15,5.5,e₁₀
1.8482758620689654,10,10,-0.11272766860160899,0.15,5.5,e₁₀
1.9827586206896552,1,1,-1.7469958387966553,0.15,5.5,e₁
1.9827586206896552,1,2,-1.5978551436310964,0.15,5.5,e₁
1.9827586206896552,1,3,-1.4414419114244046,0.15,5.5,e₁
1.9827586206896552,1,4,-1.2778048241128799,0.15,5.5,e₁
1.9827586206896552,1,5,-1.1067334305943082,0.15,5.5,e₁
1.9827586206896552,1,6,-0.9283162623774547,0.15,5.5,e₁
1.9827586206896552,1,7,-0.7425159681213113,0.15,5.5,e₁
1.9827586206896552,1,8,-0.549740894885195,0.15,5.5,e₁
1.9827586206896552,1,9,-0.35118417335413094,0.15,5.5,e₁
1.9827586206896552,1,10,-0.15153384438134593,0.15,5.5,e₁
1.9827586206896552,5,1,-1.4863339274013734,0.15,5.5,e₅
1.9827586206896552,5,2,-1.3570115039175108,0.15,5.5,e₅
1.9827586206896552,5,3,-1.2234338780832312,0.15,5.5,e₅
1.9827586206896552,5,4,-1.0840448514327203,0.15,5.5,e₅
1.9827586206896552,5,5,-0.9387120281620517,0.15,5.5,e₅
1.9827586206896552,5,6,-0.7874446034961181,0.15,5.5,e₅
1.9827586206896552,5,7,-0.6304801679304171,0.15,5.5,e₅
1.9827586206896552,5,8,-0.4680189251370518,0.15,5.5,e₅
1.9827586206896552,5,9,-0.30095654347637,0.15,5.5,e₅
1.9827586206896552,5,10,-0.13248446684519358,0.15,5.5,e₅
1.9827586206896552,10,1,-1.2086929792485614,0.15,5.5,e₁₀
1.9827586206896552,10,2,-1.1011319749036277,0.15,5.5,e₁₀
1.9827586206896552,10,3,-0.9906609840741576,0.15,5.5,e₁₀
1.9827586206896552,10,4,-0.8771348117101232,0.15,5.5,e₁₀
1.9827586206896552,10,5,-0.7593119717077204,0.15,5.5,e₁₀
1.9827586206896552,10,6,-0.6371070675619853,0.15,5.5,e₁₀
1.9827586206896552,10,7,-0.5106102304378831,0.15,5.5,e₁₀
1.9827586206896552,10,8,-0.3800972269915311,0.15,5.5,e₁₀
1.9827586206896552,10,9,-0.24617928919896936,0.15,5.5,e₁₀
1.9827586206896552,10,10,-0.11079605929730159,0.15,5.5,e₁₀
2.117241379310345,1,1,-1.7376269111912863,0.15,5.5,e₁
2.117241379310345,1,2,-1.5887348195978828,0.15,5.5,e₁
2.117241379310345,1,3,-1.4327268843050494,0.15,5.5,e₁
2.117241379310345,1,4,-1.2695260802857398,0.15,5.5,e₁
2.117241379310345,1,5,-1.0989248793455817,0.15,5.5,e₁
2.117241379310345,1,6,-0.9209758324383486,0.15,5.5,e₁
2.117241379310345,1,7,-0.7357842513226566,0.15,5.5,e₁
2.117241379310345,1,8,-0.5436994937822733,0.15,5.5,e₁
2.117241379310345,1,9,-0.34603146722772815,0.15,5.5,e₁
2.117241379310345,1,10,-0.1480638940539628,0.15,5.5,e₁
2.117241379310345,5,1,-1.4799107781997751,0.15,5.5,e₅
2.117241379310345,5,2,-1.35058835573962,0.15,5.5,e₅
2.117241379310345,5,3,-1.2171316771703646,0.15,5.5,e₅
2.117241379310345,5,4,-1.078039592006831,0.15,5.5,e₅
2.117241379310345,5,5,-0.9330674319946144,0.15,5.5,e₅
2.117241379310345,5,6,-0.7821770920878761,0.15,5.5,e₅
2.117241379310345,5,7,-0.6255619338456959,0.15,5.5,e₅
2.117241379310345,5,8,-0.4635935496208765,0.15,5.5,e₅
2.117241379310345,5,9,-0.29719791701292897,0.15,5.5,e₅
2.117241379310345,5,10,-0.1298244408991773,0.15,5.5,e₅
2.117241379310345,10,1,-1.2047185935704599,0.15,5.5,e₁₀
2.117241379310345,10,2,-1.0971575892255263,0.15,5.5,e₁₀
2.117241379310345,10,3,-0.9866865983960577,0.15,5.5,e₁₀
2.117241379310345,10,4,-0.873214947352873,0.15,5.5,e₁₀
2.117241379310345,10,5,-0.75562726776874,0.15,5.5,e₁₀
2.117241379310345,10,6,-0.6336430521800954,0.15,5.5,e₁₀
2.117241379310345,10,7,-0.507409130540528,0.15,5.5,e₁₀
2.117241379310345,10,8,-0.37718145190226715,0.15,5.5,e₁₀
2.117241379310345,10,9,-0.24366220211499612,0.15,5.5,e₁₀
2.117241379310345,10,10,-0.10892953176522632,0.15,5.5,e₁₀
2.2517241379310344,1,1,-1.7285065475230286,0.15,5.5,e₁
2.2517241379310344,1,2,-1.5797052037500934,0.15,5.5,e₁
2.2517241379310344,1,3,-1.4241307548909339,0.15,5.5,e₁
2.2517241379310344,1,4,-1.2613432869304892,0.15,5.5,e₁
2.2517241379310344,1,5,-1.0912004047554071,0.15,5.5,e₁
2.2517241379310344,1,6,-0.9137162857822114,0.15,5.5,e₁
2.2517241379310344,1,7,-0.7291307312861858,0.15,5.5,e₁
2.2517241379310344,1,8,-0.5377120274214428,0.15,5.5,e₁
2.2517241379310344,1,9,-0.34111486472616237,0.15,5.5,e₁
2.2517241379310344,1,10,-0.1447493019266435,0.15,5.5,e₁
2.2517241379310344,5,1,-1.4736124510976654,0.15,5.5,e₅
2.2517241379310344,5,2,-1.3442900286375106,0.15,5.5,e₅
2.2517241379310344,5,3,-1.2108856800821703,0.15,5.5,e₅
2.2517241379310344,5,4,-1.0721483402245593,0.15,5.5,e₅
2.2517241379310344,5,5,-0.9274827442316306,0.15,5.5,e₅
2.2517241379310344,5,6,-0.7769607380377479,0.15,5.5,e₅
2.2517241379310344,5,7,-0.6207658235159206,0.15,5.5,e₅
2.2517241379310344,5,8,-0.4592914327800178,0.15,5.5,e₅
2.2517241379310344,5,9,-0.29352452818391545,0.15,5.5,e₅
2.2517241379310344,5,10,-0.127269128624985,0.15,5.5,e₅
2.2517241379310344,10,1,-1.2008167101847194,0.15,5.5,e₁₀
2.2517241379310344,10,2,-1.0932557058397856,0.15,5.5,e₁₀
2.2517241379310344,10,3,-0.9827847150103171,0.15,5.5,e₁₀
2.2517241379310344,10,4,-0.8693293434374932,0.15,5.5,e₁₀
2.2517241379310344,10,5,-0.7519725873052554,0.15,5.5,e₁₀
2.2517241379310344,10,6,-0.630222790744298,0.15,5.5,e₁₀
2.2517241379310344,10,7,-0.5042302546484485,0.15,5.5,e₁₀
2.2517241379310344,10,8,-0.3743359512239256,0.15,5.5,e₁₀
2.2517241379310344,10,9,-0.24119189257812024,0.15,5.5,e₁₀
2.2517241379310344,10,10,-0.10712485129571267,0.15,5.5,e₁₀
2.386206896551724,1,1,-1.7195739898496945,0.15,5.5,e₁
2.386206896551724,1,2,-1.5707726460767593,0.15,5.5,e₁
2.386206896551724,1,3,-1.4156292649563995,0.15,5.5,e₁
2.386206896551724,1,4,-1.2532631311369193,0.15,5.5,e₁
2.386206896551724,1,5,-1.0835934808499545,0.15,5.5,e₁
2.386206896551724,1,6,-0.9066508181928273,0.15,5.5,e₁
2.386206896551724,1,7,-0.7225499899741566,0.15,5.5,e₁
2.386206896551724,1,8,-0.531948928556218,0.15,5.5,e₁
2.386206896551724,1,9,-0.3362537658488537,0.15,5.5,e₁
2.386206896551724,1,10,-0.141579862802867,0.15,5.5,e₁
2.386206896551724,5,1,-1.4674015621191243,0.15,5.5,e₅
2.386206896551724,5,2,-1.3380791396598115,0.15,5.5,e₅
2.386206896551724,5,3,-1.204716832576766,0.15,5.5,e₅
2.386206896551724,5,4,-1.0663073859697851,0.15,5.5,e₅
2.386206896551724,5,5,-0.9219740371057396,0.15,5.5,e₅
2.386206896551724,5,6,-0.7718301844017968,0.15,5.5,e₅
2.386206896551724,5,7,-0.6160493106256816,0.15,5.5,e₅
2.386206896551724,5,8,-0.4550681808089388,0.15,5.5,e₅
2.386206896551724,5,9,-0.2899627143633293,0.15,5.5,e₅
2.386206896551724,5,10,-0.12481246619205785,0.15,5.5,e₅
2.386206896551724,10,1,-1.1969431043659284,0.15,5.5,e₁₀
2.386206896551724,10,2,-1.0893821000209947,0.15,5.5,e₁₀
2.386206896551724,10,3,-0.9789111091915259,0.15,5.5,e₁₀
2.386206896551724,10,4,-0.8654714852831698,0.15,5.5,e₁₀
2.386206896551724,10,5,-0.7483451793243925,0.15,5.5,e₁₀
2.386206896551724,10,6,-0.6268321691985099,0.15,5.5,e₁₀
2.386206896551724,10,7,-0.5010923677581213,0.15,5.5,e₁₀
2.386206896551724,10,8,-0.37150757644782845,0.15,5.5,e₁₀
2.386206896551724,10,9,-0.2387685530470835,0.15,5.5,e₁₀
2.386206896551724,10,10,-0.1053789940486037,0.15,5.5,e₁₀
2.5206896551724136,1,1,-1.7107464737715947,0.15,5.5,e₁
2.5206896551724136,1,2,-1.5619663253492395,0.15,5.5,e₁
2.5206896551724136,1,3,-1.407227257092275,0.15,5.5,e₁
